no,date,red1,red2,red3,red4,red5,blue1,blue2
07001,20070530,22,24,29,31,35,04,11
07002,20070602,15,22,31,34,35,05,12
07003,20070604,03,04,18,23,32,01,06
07004,20070606,06,10,16,17,25,02,04
07005,20070609,01,09,19,20,30,02,11
07006,20070611,01,16,20,23,28,03,06
07007,20070613,14,16,25,26,35,04,09
07008,20070616,02,08,11,21,23,04,07
07009,20070618,01,03,09,19,34,09,12
07010,20070620,06,08,18,29,34,09,11
07011,20070623,29,32,33,34,35,09,10
07012,20070625,03,12,15,29,34,07,11
07013,20070627,12,17,27,29,34,06,09
07014,20070630,01,02,07,29,32,06,07
07015,20070702,02,08,12,13,17,11,12
07016,20070704,01,14,19,24,31,03,12
07017,20070707,13,14,29,32,34,03,12
07018,20070709,03,04,16,23,28,06,09
07019,20070711,03,06,17,22,23,04,06
07020,20070714,02,06,11,12,18,05,12
07021,20070716,02,04,24,29,33,01,02
07022,20070718,08,10,12,23,25,03,10
07023,20070721,08,10,23,32,34,08,10
07024,20070723,06,16,20,25,31,04,09
07025,20070725,22,24,26,27,34,02,10
07026,20070728,05,09,13,33,35,01,08
07027,20070730,02,03,10,19,27,06,10
07028,20070801,20,26,30,34,35,03,10
07029,20070804,15,22,25,29,35,09,11
07030,20070806,11,14,27,33,35,02,07
07031,20070808,03,21,27,31,32,06,08
07032,20070811,01,13,21,23,32,04,11
07033,20070813,01,05,08,14,22,03,12
07034,20070815,06,08,11,13,22,02,11
07035,20070818,07,11,16,31,32,01,12
07036,20070820,15,18,21,27,34,01,02
07037,20070822,01,06,07,17,31,11,12
07038,20070825,06,21,25,27,32,08,09
07039,20070827,10,11,20,21,35,07,11
07040,20070829,05,21,25,28,35,01,04
07041,20070901,03,16,17,22,35,01,08
07042,20070903,07,10,22,31,35,05,06
07043,20070905,04,09,22,24,31,02,06
07044,20070908,04,05,07,12,26,01,10
07045,20070910,09,16,20,26,35,11,12
07046,20070912,04,16,18,23,30,01,10
07047,20070915,01,06,15,19,35,02,09
07048,20070917,08,25,26,29,35,06,08
07049,20070919,09,10,15,17,32,04,06
07050,20070922,13,21,22,30,35,01,11
07051,20070924,03,07,24,28,35,08,11
07052,20070926,01,14,29,32,33,05,10
07053,20070929,11,16,19,21,25,01,10
07054,20071001,04,10,19,29,34,03,06
07055,20071003,10,16,24,31,33,07,10
07056,20071006,04,11,17,20,21,05,09
07057,20071008,14,16,30,32,35,06,07
07058,20071010,08,21,25,28,33,02,06
07059,20071013,04,15,23,31,33,03,09
07060,20071015,12,13,29,30,31,04,07
07061,20071017,02,10,19,28,29,02,09
07062,20071020,01,04,10,14,29,11,12
07063,20071022,10,31,33,34,35,07,12
07064,20071024,02,16,32,33,35,05,10
07065,20071027,19,20,24,29,31,09,10
07066,20071029,04,07,08,19,24,07,12
07067,20071031,11,18,25,30,31,04,09
07068,20071103,04,09,13,14,33,06,10
