no,date,red1,red2,red3,red4,red5,red6,blue1
03001,20030223,10,11,12,13,26,28,11
03002,20030227,04,09,19,20,21,26,12
03003,20030302,01,07,10,23,28,32,16
03004,20030306,04,06,07,10,13,25,03
03005,20030309,04,06,15,17,30,31,16
03006,20030313,01,03,10,21,26,27,06
03007,20030316,01,09,19,21,23,26,07
03008,20030320,05,08,09,14,17,23,08
03009,20030323,05,09,18,20,22,30,09
03010,20030327,01,02,08,13,17,24,13
03011,20030330,04,05,11,12,30,32,15
03012,20030403,02,12,16,17,27,30,12
03013,20030406,08,13,17,21,23,32,12
03014,20030410,03,05,07,08,21,31,02
03015,20030413,04,11,19,25,26,32,13
03016,20030417,11,17,28,30,31,33,06
03017,20030420,05,08,18,23,25,31,06
03018,20030424,05,16,19,20,25,28,13
03019,20030427,04,08,12,13,16,33,09
03020,20030501,07,10,25,26,27,32,04
03021,20030504,14,15,18,25,26,30,01
03022,20030508,02,07,11,12,14,32,08
03023,20030511,01,10,20,22,26,31,02
03024,20030515,02,07,15,17,22,30,14
03025,20030518,01,05,11,13,14,27,12
03026,20030522,08,13,15,26,29,31,16
03027,20030525,01,11,14,17,27,28,15
03028,20030529,06,13,16,20,28,32,07
03029,20030601,02,07,15,26,29,32,10
03030,20030605,02,06,13,14,23,27,07
03031,20030608,11,17,20,22,28,32,01
03032,20030612,04,11,25,27,29,30,13
03033,20030615,01,07,14,20,27,30,10
03034,20030619,08,13,14,16,23,25,14
03035,20030622,03,04,05,08,10,11,08
03036,20030626,07,21,24,25,27,28,15
03037,20030629,09,14,17,18,26,32,07
03038,20030703,05,07,08,24,25,27,16
03039,20030706,03,05,23,24,27,32,03
03040,20030710,04,05,06,12,14,23,16
03041,20030713,02,03,17,18,24,25,11
03042,20030717,03,05,07,10,15,20,07
03043,20030720,02,08,10,19,20,32,13
03044,20030724,02,05,09,16,32,33,15
03045,20030727,03,07,14,15,17,32,03
03046,20030731,07,08,10,11,17,26,11
03047,20030803,03,17,26,28,32,33,16
03048,20030807,10,12,20,28,30,31,09
03049,20030810,03,06,07,13,24,25,15
03050,20030814,02,08,17,23,24,26,13
03051,20030817,04,13,15,17,24,27,01
03052,20030821,01,12,13,23,30,31,11
03053,20030824,15,19,20,21,28,29,13
03054,20030828,02,05,09,21,31,33,12
03055,20030831,06,13,16,21,28,31,16
03056,20030904,08,17,21,26,28,29,07
03057,20030907,18,19,24,25,30,31,16
03058,20030911,09,11,16,28,32,33,02
03059,20030914,02,03,05,06,18,30,04
03060,20030918,02,04,06,17,21,28,11
03061,20030921,03,05,20,21,28,32,02
03062,20030925,01,06,12,19,20,32,14
03063,20030928,05,08,09,14,21,33,11
03064,20031002,04,06,08,12,15,30,01
03065,20031005,06,15,16,17,30,33,11
03066,20031009,03,07,08,20,24,32,14
03067,20031012,05,11,12,13,27,31,10
03068,20031016,09,19,25,27,32,33,11
03069,20031019,07,11,16,19,26,28,11
03070,20031023,01,02,04,17,18,19,08
03071,20031026,09,11,12,14,15,33,11
03072,20031030,03,06,08,11,19,27,11
03073,20031102,02,12,14,21,23,30,13
03074,20031106,02,12,19,22,27,32,01
03075,20031109,16,17,19,22,31,33,11
03076,20031113,01,13,16,18,20,29,02
03077,20031116,04,12,16,22,24,25,06
03078,20031120,07,12,23,26,29,30,11
03079,20031123,12,15,22,23,26,31,04
03080,20031127,09,20,24,25,28,30,10
03081,20031130,01,02,14,26,29,30,07
03082,20031204,07,17,18,19,30,31,14
03083,20031207,01,03,14,18,26,28,01
03084,20031211,02,06,07,10,17,33,03
03085,20031214,01,04,11,12,19,27,14
03086,20031218,05,12,16,18,26,30,13
03087,20031221,02,03,04,05,24,28,13
03088,20031225,03,10,21,22,24,33,12
03089,20031228,18,19,21,26,27,33,16
04001,20040101,01,02,03,07,10,25,07
04002,20040104,10,12,18,22,30,31,11
04003,20040108,03,05,06,17,26,33,08
04004,20040111,10,19,22,23,25,29,09
04005,20040115,09,11,13,16,17,18,07
04006,20040118,04,12,18,20,23,32,06
04007,20040129,04,12,17,20,25,28,09
04008,20040201,01,07,10,22,32,33,13
04009,20040205,01,09,10,16,22,24,11
04010,20040208,06,07,08,13,14,19,15
04011,20040212,01,04,13,23,28,30,03
04012,20040215,01,07,27,30,31,33,08
04013,20040219,12,14,21,29,30,32,13
04014,20040222,03,07,11,17,20,26,12
04015,20040226,01,03,05,18,22,23,13
04016,20040229,04,07,08,28,30,32,05
04017,20040304,05,12,14,15,25,31,09
04018,20040307,02,05,06,08,28,30,06
04019,20040311,05,10,11,23,24,32,04
04020,20040314,01,02,09,22,28,31,04
04021,20040318,05,09,11,17,26,27,10
04022,20040321,03,10,14,19,20,30,06
04023,20040325,01,08,14,17,19,30,03
04024,20040328,01,13,21,23,25,32,06
04025,20040401,07,08,10,24,29,33,04
04026,20040404,04,10,14,18,28,32,15
04027,20040408,01,05,09,10,18,32,11
04028,20040411,01,02,03,05,10,22,12
04029,20040415,09,13,20,22,24,32,05
04030,20040418,01,07,09,17,26,31,05
04031,20040422,03,06,19,20,21,24,11
04032,20040425,02,05,08,11,15,31,13
04033,20040429,01,04,08,09,19,20,01
04034,20040502,02,07,13,20,27,30,14
04035,20040506,02,08,26,27,30,32,16
04036,20040509,02,13,17,18,26,30,01
04037,20040513,03,04,11,17,20,26,05
04038,20040516,11,16,17,25,28,29,07
04039,20040520,10,16,18,25,26,29,03
04040,20040523,07,17,19,20,21,29,11
04041,20040527,08,10,17,22,25,29,14
04042,20040530,06,10,13,17,18,21,02
04043,20040603,04,09,10,21,22,24,10
04044,20040606,02,06,07,12,31,32,05
04045,20040610,01,12,18,26,27,28,13
04046,20040613,07,15,16,22,23,32,14
04047,20040617,01,07,08,11,27,31,06
04048,20040620,08,09,11,16,17,29,09
04049,20040624,11,12,14,16,25,29,09
04050,20040627,06,07,19,21,25,29,02
04051,20040701,02,03,09,10,15,29,11
04052,20040704,01,12,14,15,17,29,09
